No.,Kecamatan Wilayah Surabaya,2026_Temuan kasus,2026_ART
1,Karang Pilang,5,5
2,Wonocolo,7,7
3,Rungkut,9,9
4,Wonokromo,21,21
5,Tegalsari,21,21
6,Sawahan,29,29
7,Genteng,7,7
8,Gubeng,22,22
9,Sukolilo,11,11
10,Tambaksari,29,29
11,Simokerto,10,10
12,Pabean Cantian,3,3
13,Bubutan,9,9
14,Tandes,14,14
15,Krembangan,16,16
16,Semampir,21,21
17,Kenjeran,17,17
18,Lakarsantri,4,4
19,Benowo,7,7
20,Wiyung,4,4
21,Dukuh Pakis,7,7
22,Gayungan,4,4
23,Jambangan,8,8
24,Tenggilis Mejoyo,5,5
25,Gunung Anyar,7,7
26,Mulyorejo,9,9
27,Sukomanunggal,12,12
28,Asemrowo,4,4
29,Bulak,4,4
30,Pakal,5,5
31,Sambikerep,5,5
